Title,Address,Latitude,Longitude,Found Address,Match Quality,Source
Sklep 1,"ALEKSANDRÓW KUJAWSKI, ul. Narutowicza 4",52.877847,18.6928429,"Gabriela Narutowicza 4, 87-700 Aleksandrów Kujawski, Poland",Match,Google
Sklep 2,"ANDRYCHÓW, ul. Starowiejska 27",49.8596752,19.3470133,"Starowiejska 27, 34-120 Andrychów, Poland",Match,Google
Sklep 3,"BARLINEK, ul. Dworcowa 1",52.997677,15.219266,"Dworcowa 1, 74-320 Barlinek, Poland",Match,Google
Sklep 4,"BARTOSZYCE, ul. Bema 33A",54.25798,20.8066241,"gen. Józefa Bema 33A, 11-200 Bartoszyce, Poland",Match,Google
Sklep 5,"BĘDZIN, al. Kołłątaja 103",50.3235703,19.1535086,"aleja Hugona Kołłątaja 103, 42-500 Będzin, Poland",Match,Google
Sklep 6,"BIAŁE BŁOTA, ul. Altanowa 2a",53.101467,17.922455,"Altanowa 2A, 86-005 Białe Błota, Poland",Match,Google
Sklep 7,"BIAŁOGARD, ul. 1-Maja 9",54.007003,15.98592,"1 Maja 9, 78-200 Białogard, Poland",Match,Google
Sklep 8,"BIAŁOGARD, ul. Drzymały 31",54.0075919,15.9781363,"Drzymały 31, 78-200 Białogard, Poland",Match,Google
Sklep 9,"BIELANY WROCŁAWSKIE, ul. Wrocławska 13B",51.0400605,16.9696333,"Wrocławska 13B, 55-040 Bielany Wrocławskie, Poland",Match,Google
Sklep 10,"BIELAWA, ul. 1-go Maja 2a",50.6878801,16.6226581,"1-go Maja 4a, 58-260 Bielawa, Poland",Match,Google
Sklep 11,"BIELSKO-BIAŁA, ul. Daszyńskiego 51",49.8490475,19.0498616,"Ignacego Daszyńskiego 51, 43-346 Bielsko-Biała, Poland",Match,Google
Sklep 12,"BLIZNE JASIŃSKIEGO, ul. Warszawska 142",52.2438478,20.8657461,"Warszawska 142, 05-082 Blizne Jasińskiego, Poland",Match,Google
Sklep 13,"BOGATYNIA, ul. Pocztowa 12",50.9079032,14.9569355,"Pocztowa 12, 59-920 Bogatynia, Poland",Match,Google
Sklep 14,"BRANIEWO, ul. Żeromskiego 17",54.3869863,19.8332418,"Żeromskiego 17, 14-500 Braniewo, Poland",Match,Google
Sklep 15,"BRODNICA, ul. 18 Stycznia 38b",53.244687,19.4055049,"18 Stycznia 38B, 87-300 Brodnica, Poland",Match,Google
Sklep 16,"BRWINÓW, ul. Powstańców Warszawy 2A",52.1434232,20.7190948,"Powstańców Warszawy 2a, 05-840 Brwinów, Poland",Match,Google
Sklep 17,"BRZEG, ul. 1 Maja 4",50.8524037,17.4661699,"1 Maja 4, 49-300 Brzeg, Poland",Match,Google
Sklep 18,"BRZEG DOLNY, ul. Aleje Jerozolimskie 42a",51.2708408,16.7090353,"Aleje Jerolozolimskie, Aleje Jerozolimskie 42a, 56-121 Brzeg Dolny, Poland",Match,Google
Sklep 19,"BRZESZCZE, ul. Lisowce 4",49.974286,19.1407269,"Lisowce 4, 32-620 Brzeszcze, Poland",Match,Google
